Exception Name,Subscriber,?,?,Datafile,Process Location,?
CHECK_INT_VAL,LCD,PRMO,PRMO,PRMO_%%%_%%%%%%%%%%%%%%.dat.gz,Internal Validation,Y
CHECK_INT_VAL,LCD,PRDCCGRP,PRDCCGRP,,Internal Validation,Y
CHECK_INT_VAL,LCD,PODCGRP,PODCGRP,,Internal Validation,Y
CHECK_CUST_ADPTR,TCG,PROUPCS,PROCHR,EUR_tcg_pro_ean_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,TCG,PROCHARS,PROCHR,EUR_tcg_pro_char_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_FILE_CONTS,TCG,PROUPCS,PROCHR,EUR_tcg_pro_ean_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_FILE_CONTS,TCG,PROCHARS,PROCHR,EUR_tcg_pro_char_%%%%%%%%%%%%%%.dat,Add to File contents,N
CHECK_INT_VAL,TCG,PROUPCS,PROCHR,EUR_tcg_pro_ean_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_INT_VAL,TCG,PROCHARS,PROCHR,EUR_tcg_pro_char_%%%%%%%%%%%%%%.dat,Internal Validation,N
CHECK_CUST_ADPTR,TCG,TCGDCB_CRE,TCGDCB,SYNF1001%%%%%%%.cre,Check Custom Adapter Needed,Y
CHECK_FILE_CONTS,TCG,TCGDCB_CRE,TCGDCB,SYNF1001%%%%%%%.cre,Add to File contents,N
CHECK_INT_VAL,TCG,TCGDCB_CRE,TCGDCB,SYNF1001%%%%%%%.cre,Internal Validation,N
CHECK_CUST_ADPTR,TCG,TCGDCB_CHA,TCGDCB,SYNF1001%%%%%%%.cha,Check Custom Adapter Needed,Y
CHECK_FILE_CONTS,TCG,TCGDCB_CHA,TCGDCB,SYNF1001%%%%%%%.cha,Add to File contents,N
CHECK_INT_VAL,TCG,TCGDCB_CHA,TCGDCB,SYNF1001%%%%%%%.cha,Internal Validation,N
CHECK_CUST_ADPTR,CAF,PROUPCS,PROCHR,EUR_caf_pro_ean_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
CHECK_CUST_ADPTR,CAF,PROCHARS,PROCHR,EUR_caf_pro_char_%%%%%%%%%%%%%%.dat,Check Custom Adapter Needed,Y
